profile,mode,qid,run1_s,run2_s,run3_s,best_s
ebs_gp3,warm,Q1,0.002,0.002,0.002,0.002
ebs_gp3,warm,Q2,0.008,0.008,0.008,0.008
ebs_gp3,warm,Q3,0.016,0.016,0.016,0.016
ebs_gp3,warm,Q4,0.023,0.034,0.023,0.023
ebs_gp3,warm,Q5,0.163,0.158,0.150,0.150
ebs_gp3,warm,Q6,0.257,0.267,0.273,0.257
ebs_gp3,warm,Q7,0.002,0.002,0.015,0.002
ebs_gp3,warm,Q8,0.011,0.010,0.010,0.010
ebs_gp3,warm,Q9,0.262,0.278,0.255,0.255
ebs_gp3,warm,Q10,0.317,0.288,0.312,0.288
ebs_gp3,warm,Q11,0.082,0.085,0.086,0.082
ebs_gp3,warm,Q12,0.094,0.096,0.095,0.094
ebs_gp3,warm,Q13,0.269,0.276,0.287,0.269
ebs_gp3,warm,Q14,0.378,0.383,0.379,0.378
ebs_gp3,warm,Q15,0.345,0.351,0.347,0.345
ebs_gp3,warm,Q16,0.193,0.194,0.193,0.193
ebs_gp3,warm,Q17,0.944,0.873,0.907,0.873
ebs_gp3,warm,Q18,0.647,0.733,0.704,0.647
ebs_gp3,warm,Q19,1.706,1.709,1.628,1.628
ebs_gp3,warm,Q20,0.023,0.023,0.023,0.023
ebs_gp3,warm,Q21,0.383,0.379,0.384,0.379
ebs_gp3,warm,Q22,0.416,0.434,0.410,0.410
ebs_gp3,warm,Q23,0.514,0.514,0.501,0.501
ebs_gp3,warm,Q24,1.331,1.309,1.307,1.307
ebs_gp3,warm,Q25,0.108,0.108,0.120,0.108
ebs_gp3,warm,Q26,0.089,0.090,0.088,0.088
ebs_gp3,warm,Q27,0.113,0.111,0.114,0.111
ebs_gp3,warm,Q28,0.378,0.356,0.338,0.338
ebs_gp3,warm,Q29,5.109,5.081,5.098,5.081
ebs_gp3,warm,Q30,0.026,0.038,0.025,0.025
ebs_gp3,warm,Q31,0.233,0.216,0.218,0.216
ebs_gp3,warm,Q32,0.291,0.279,0.312,0.279
ebs_gp3,warm,Q33,1.140,1.129,1.140,1.129
ebs_gp3,warm,Q34,1.268,1.252,1.282,1.252
ebs_gp3,warm,Q35,1.270,1.306,1.250,1.250
ebs_gp3,warm,Q36,0.172,0.177,0.201,0.172
ebs_gp3,warm,Q37,0.032,0.029,0.031,0.029
ebs_gp3,warm,Q38,0.023,0.024,0.022,0.022
ebs_gp3,warm,Q39,0.016,0.015,0.016,0.015
ebs_gp3,warm,Q40,0.051,0.052,0.050,0.050
ebs_gp3,warm,Q41,0.013,0.014,0.012,0.012
ebs_gp3,warm,Q42,0.010,0.009,0.009,0.009
ebs_gp3,warm,Q43,0.009,0.009,0.008,0.008
ebs_gp3,direct_io,Q1,0.002,0.002,0.002,0.002
ebs_gp3,direct_io,Q2,0.018,0.017,0.017,0.017
ebs_gp3,direct_io,Q3,0.062,0.076,0.062,0.062
ebs_gp3,direct_io,Q4,0.141,0.142,0.141,0.141
ebs_gp3,direct_io,Q5,0.281,0.270,0.275,0.270
ebs_gp3,direct_io,Q6,0.510,0.501,0.499,0.499
ebs_gp3,direct_io,Q7,0.002,0.002,0.002,0.002
ebs_gp3,direct_io,Q8,0.019,0.019,0.020,0.019
ebs_gp3,direct_io,Q9,0.442,0.448,0.427,0.427
ebs_gp3,direct_io,Q10,0.528,0.520,0.527,0.520
ebs_gp3,direct_io,Q11,0.231,0.235,0.233,0.231
ebs_gp3,direct_io,Q12,0.273,0.274,0.272,0.272
ebs_gp3,direct_io,Q13,0.516,0.541,0.507,0.507
ebs_gp3,direct_io,Q14,0.731,0.704,0.707,0.704
ebs_gp3,direct_io,Q15,0.620,0.630,0.624,0.620
ebs_gp3,direct_io,Q16,0.303,0.305,0.307,0.303
ebs_gp3,direct_io,Q17,1.366,1.298,1.283,1.283
ebs_gp3,direct_io,Q18,1.052,1.039,1.027,1.027
ebs_gp3,direct_io,Q19,2.234,2.229,2.202,2.202
ebs_gp3,direct_io,Q20,0.142,0.144,0.141,0.141
ebs_gp3,direct_io,Q21,1.632,1.602,1.622,1.602
ebs_gp3,direct_io,Q22,1.836,1.825,1.851,1.825
ebs_gp3,direct_io,Q23,2.174,2.213,2.181,2.174
ebs_gp3,direct_io,Q24,6.755,6.792,6.788,6.755
ebs_gp3,direct_io,Q25,0.553,0.551,0.549,0.549
ebs_gp3,direct_io,Q26,0.395,0.399,0.392,0.392
ebs_gp3,direct_io,Q27,0.599,0.549,0.524,0.524
ebs_gp3,direct_io,Q28,1.606,1.602,1.615,1.602
ebs_gp3,direct_io,Q29,6.124,6.156,6.116,6.116
ebs_gp3,direct_io,Q30,0.067,0.068,0.067,0.067
ebs_gp3,direct_io,Q31,0.662,0.632,0.647,0.632
ebs_gp3,direct_io,Q32,1.037,1.053,1.017,1.017
ebs_gp3,direct_io,Q33,1.663,1.703,1.640,1.640
ebs_gp3,direct_io,Q34,2.481,2.460,2.511,2.460
ebs_gp3,direct_io,Q35,2.465,2.514,2.471,2.465
ebs_gp3,direct_io,Q36,0.226,0.234,0.264,0.226
ebs_gp3,direct_io,Q37,0.050,0.054,0.054,0.050
ebs_gp3,direct_io,Q38,0.028,0.032,0.031,0.028
ebs_gp3,direct_io,Q39,0.042,0.041,0.041,0.041
ebs_gp3,direct_io,Q40,0.097,0.093,0.094,0.093
ebs_gp3,direct_io,Q41,0.026,0.025,0.026,0.025
ebs_gp3,direct_io,Q42,0.020,0.021,0.020,0.020
ebs_gp3,direct_io,Q43,0.016,0.016,0.016,0.016
