phase,metric,unit,value,status
p7_pod_delete,pod_ready_after_delete,seconds,34,measured_single_run
p7_pod_delete,failed_probe_queries,count,0,measured_single_run
p7_pod_delete,service_outage,seconds,0,measured_single_run
p7_pod_delete,replication_lag_after,seconds,0,measured_single_run
p7b_drain,drain_blocked_by_overlapping_pdb,boolean,true,defect_found_and_fixed
p7b_drain,drain_completion_after_fix,seconds,7,measured_single_run
p7b_drain,failed_probe_queries,count,0,measured_single_run
p7b_drain,pod_reschedule_after_uncordon,seconds,20,measured_single_run
p8_node_loss,node_notready_detected,seconds,10,measured_single_run
p8_node_loss,ebs_volume_detached,seconds,86,measured_single_run
p8_node_loss,replacement_node_joined,seconds,86,measured_single_run
p8_node_loss,volume_reattached_pod_running,seconds,111,measured_single_run
p8_node_loss,service_outage,seconds,3,measured_single_run
p8_node_loss,failed_probe_queries,count,2,measured_single_run
p8_node_loss,probe_availability,percent,99.2,260_samples_1s_interval
p8_node_loss,data_rebuilt_from_replica,bytes,0,volume_reattached_not_rebuilt
p8_node_loss,rows_after_recovery,count,999974970,identical_to_pre_drill
p8_node_loss,bytes_on_disk_after_recovery,bytes,139911668216,identical_to_pre_drill
p8_node_loss,replacement_node_same_az,boolean,true,us_east_1a_nodegroup_subnet_pinned
p8_node_loss,replication_lag_after,seconds,0,measured_single_run
