phase,metric,unit,local_nvme,ebs_gp3,ebs_vs_local_pct,status
clickbench_1x,warm_43_query_total,seconds,19.357,19.900,2.805187,measured_single_run
clickbench_1x,direct_io_43_query_total,seconds,22.826,40.699,78.301060,measured_single_run
clickbench_1x,direct_io_p95,seconds,1.759,2.646,50.426379,measured_single_run
clickbench_10x,warm_43_query_total,seconds,263.391,273.694,3.911675,measured_single_run
clickbench_10x,direct_io_43_query_total,seconds,282.840,470.944,66.505445,measured_single_run
clickbench_10x,direct_io_p95,seconds,32.437,39.905,23.023091,measured_single_run
ingest_10x,end_to_end_insert,rows_per_second,3366919,3662912,8.790912,not_storage_isolated
qps_10x,full_scan_c1,queries_per_second,1.862,1.803,-3.168636,measured_single_run
qps_10x,full_scan_c8,queries_per_second,4.250,4.169,-1.905882,measured_single_run
merge_10x,merge_span_partlog,seconds,3321,4916,48.026197,measured_single_run_partlog_error0
merge_10x,merge_duration_sum_partlog,seconds,15898,21294,33.941376,measured_single_run_partlog_error0
merge_10x,successful_merges,count,512,505,-1.367188,measured_single_run_partlog_error0
merge_10x,merge_output_compressed,GiB,539.42,526.24,-2.443364,measured_single_run_partlog_error0
merge_10x,optimize_final_runner_wall_clock,seconds,3346,,,local_only_runner_died_no_ebs_wall_clock
merge_10x,replicas_converged_to_1_part,count_of_2,1,2,,local_initiator_biased_see_section_9_item_15
merge_10x,concurrent_query_qps_first_300s,queries_per_second,2.573,2.771,7.695297,partial_window_9pct_local_6pct_ebs_not_comparable
merge_10x,concurrent_query_p99_first_300s,seconds,2.279,2.237,-1.842914,partial_window_9pct_local_6pct_ebs_not_comparable
merge_10x,concurrent_scan_throughput_first_300s,MiB_per_second,9814.473,10570.342,7.701575,partial_window_9pct_local_6pct_ebs_not_comparable
device_merge_window,device_a_average_read_write_throughput,MiB_per_second,324.8,216.4,-33.374692,measured_single_run_device_counters
device_merge_window,device_b_average_read_write_throughput,MiB_per_second,331.0,218.6,-33.957704,measured_single_run_device_counters
device_merge_window,device_a_p95_read_write_throughput,MiB_per_second,1516.8,1130.1,-25.494725,measured_single_run_device_counters
device_merge_window,device_b_p95_read_write_throughput,MiB_per_second,1650.6,1193.4,-27.699018,measured_single_run_device_counters
device_merge_window,device_a_peak_read_write_throughput,MiB_per_second,2629.6,1263.7,-51.943261,measured_single_run_device_counters
device_merge_window,device_b_peak_read_write_throughput,MiB_per_second,2815.3,1296.5,-53.948069,measured_single_run_device_counters
device_merge_window,device_a_peak_utilization,percent,86.9,102.2,17.606444,measured_single_run_device_counters
device_merge_window,device_b_peak_utilization,percent,88.6,102.0,15.124153,measured_single_run_device_counters
device_merge_window,device_a_cumulative_read_write,TiB,1.026,1.014,-1.169591,equal_work_different_elapsed_time
device_merge_window,device_b_cumulative_read_write,TiB,1.046,1.023,-2.198853,equal_work_different_elapsed_time
device_merge_window,device_a_average_iops,IOPS,2762,1415,-48.769008,measured_single_run_device_counters
device_merge_window,device_b_average_iops,IOPS,2819,1428,-49.343739,measured_single_run_device_counters
device_merge_window,device_a_bytes_per_io,KiB,120.4,156.6,30.066445,below_256KiB_ssd_merge_cap
device_merge_window,device_b_bytes_per_io,KiB,120.2,156.7,30.366057,below_256KiB_ssd_merge_cap
cloudwatch_ebs,volume_a_average_read_write_throughput,MiB_per_second,,106.201895,,118_one_minute_samples
cloudwatch_ebs,volume_a_peak_read_write_throughput,MiB_per_second,,1040.680924,,118_one_minute_samples
cloudwatch_ebs,volume_b_average_read_write_throughput,MiB_per_second,,129.114192,,118_one_minute_samples
cloudwatch_ebs,volume_b_peak_read_write_throughput,MiB_per_second,,954.342708,,118_one_minute_samples
cloudwatch_ebs,volume_a_average_iops,IOPS,,873.134181,,118_one_minute_samples
cloudwatch_ebs,volume_a_peak_iops,IOPS,,14992.983333,,118_one_minute_samples
cloudwatch_ebs,volume_b_average_iops,IOPS,,1030.164407,,118_one_minute_samples
cloudwatch_ebs,volume_b_peak_iops,IOPS,,9700.516667,,118_one_minute_samples
cloudwatch_ebs,volume_a_average_queue_length,count,,1.114034,,118_one_minute_samples
cloudwatch_ebs,volume_a_peak_queue_length,count,,11.729492,,118_one_minute_samples
cloudwatch_ebs,volume_b_average_queue_length,count,,1.324161,,118_one_minute_samples
cloudwatch_ebs,volume_b_peak_queue_length,count,,9.161133,,118_one_minute_samples
cost_1x2,on_demand_compute_and_data_volume,USD_per_month,2004.29,2380.14,18.752286,excludes_common_and_shared_costs
